Code,Treatment,Repet,Tree,Date,Sprout,Aphids,Block,TreeCode
A12110,A,01,02,1,10,0,Block_1,A0102
A1221,A,01,02,2,1,0,Block_1,A0102
A1222,A,01,02,2,2,0,Block_1,A0102
A1223,A,01,02,2,3,0,Block_1,A0102
A1224,A,01,02,2,4,0,Block_1,A0102
A1225,A,01,02,2,5,1,Block_1,A0102
A1226,A,01,02,2,6,0,Block_1,A0102
A1227,A,01,02,2,7,0,Block_1,A0102
A1228,A,01,02,2,8,0,Block_1,A0102
A1229,A,01,02,2,9,0,Block_1,A0102
A12210,A,01,02,2,10,0,Block_1,A0102
A1231,A,01,02,3,1,0,Block_1,A0102
A1232,A,01,02,3,2,0,Block_1,A0102
A1233,A,01,02,3,3,0,Block_1,A0102
A1234,A,01,02,3,4,0,Block_1,A0102
A1235,A,01,02,3,5,0,Block_1,A0102
A1236,A,01,02,3,6,0,Block_1,A0102
A1237,A,01,02,3,7,0,Block_1,A0102
A1238,A,01,02,3,8,0,Block_1,A0102
A1239,A,01,02,3,9,0,Block_1,A0102
A12310,A,01,02,3,10,0,Block_1,A0102
A2111,A,02,01,1,1,0,Block_1,A0201
A2112,A,02,01,1,2,0,Block_1,A0201
A2113,A,02,01,1,3,0,Block_1,A0201
A2114,A,02,01,1,4,0,Block_1,A0201
A2115,A,02,01,1,5,0,Block_1,A0201
A2116,A,02,01,1,6,0,Block_1,A0201
A2117,A,02,01,1,7,0,Block_1,A0201
A2118,A,02,01,1,8,0,Block_1,A0201
A2119,A,02,01,1,9,0,Block_1,A0201
A21110,A,02,01,1,10,0,Block_1,A0201
A2121,A,02,01,2,1,0,Block_1,A0201
A2122,A,02,01,2,2,1,Block_1,A0201
A2123,A,02,01,2,3,0,Block_1,A0201
A2124,A,02,01,2,4,0,Block_1,A0201
A2125,A,02,01,2,5,1,Block_1,A0201
A2126,A,02,01,2,6,0,Block_1,A0201
A2127,A,02,01,2,7,0,Block_1,A0201
A2128,A,02,01,2,8,0,Block_1,A0201
A2129,A,02,01,2,9,0,Block_1,A0201
A21210,A,02,01,2,10,0,Block_1,A0201
A2131,A,02,01,3,1,0,Block_1,A0201
A2132,A,02,01,3,2,0,Block_1,A0201
A2133,A,02,01,3,3,0,Block_1,A0201
A2134,A,02,01,3,4,0,Block_1,A0201
A2135,A,02,01,3,5,0,Block_1,A0201
A2136,A,02,01,3,6,0,Block_1,A0201
A2137,A,02,01,3,7,0,Block_1,A0201
A2138,A,02,01,3,8,0,Block_1,A0201
A2139,A,02,01,3,9,0,Block_1,A0201
A21310,A,02,01,3,10,0,Block_1,A0201
A2211,A,02,02,1,1,0,Block_1,A0202
A2212,A,02,02,1,2,0,Block_1,A0202
A2213,A,02,02,1,3,0,Block_1,A0202
A2214,A,02,02,1,4,0,Block_1,A0202
A2215,A,02,02,1,5,0,Block_1,A0202
A2216,A,02,02,1,6,0,Block_1,A0202
A2217,A,02,02,1,7,0,Block_1,A0202
A2218,A,02,02,1,8,0,Block_1,A0202
A2219,A,02,02,1,9,1,Block_1,A0202
A22110,A,02,02,1,10,0,Block_1,A0202
A2221,A,02,02,2,1,0,Block_1,A0202
A2222,A,02,02,2,2,0,Block_1,A0202
A2223,A,02,02,2,3,0,Block_1,A0202
A2224,A,02,02,2,4,0,Block_1,A0202
A2225,A,02,02,2,5,0,Block_1,A0202
A2226,A,02,02,2,6,0,Block_1,A0202
A2227,A,02,02,2,7,0,Block_1,A0202
A2228,A,02,02,2,8,0,Block_1,A0202
A2229,A,02,02,2,9,0,Block_1,A0202
A22210,A,02,02,2,10,0,Block_1,A0202
A2231,A,02,02,3,1,0,Block_1,A0202
A2232,A,02,02,3,2,0,Block_1,A0202
A2233,A,02,02,3,3,0,Block_1,A0202
A2234,A,02,02,3,4,0,Block_1,A0202
A2235,A,02,02,3,5,0,Block_1,A0202
A2236,A,02,02,3,6,0,Block_1,A0202
A2237,A,02,02,3,7,0,Block_1,A0202
A2238,A,02,02,3,8,0,Block_1,A0202
A2239,A,02,02,3,9,0,Block_1,A0202
A22310,A,02,02,3,10,0,Block_1,A0202
A3111,A,03,01,1,1,0,Block_1,A0301
A3112,A,03,01,1,2,0,Block_1,A0301
A3113,A,03,01,1,3,0,Block_1,A0301
A3114,A,03,01,1,4,0,Block_1,A0301
A3115,A,03,01,1,5,0,Block_1,A0301
A3116,A,03,01,1,6,0,Block_1,A0301
A3117,A,03,01,1,7,0,Block_1,A0301
A3118,A,03,01,1,8,1,Block_1,A0301
A3119,A,03,01,1,9,0,Block_1,A0301
A31110,A,03,01,1,10,0,Block_1,A0301
A3121,A,03,01,2,1,0,Block_1,A0301
A3122,A,03,01,2,2,0,Block_1,A0301
A3123,A,03,01,2,3,0,Block_1,A0301
A3124,A,03,01,2,4,1,Block_1,A0301
A3125,A,03,01,2,5,0,Block_1,A0301
A3126,A,03,01,2,6,0,Block_1,A0301
A3127,A,03,01,2,7,0,Block_1,A0301
A3128,A,03,01,2,8,1,Block_1,A0301
A3129,A,03,01,2,9,0,Block_1,A0301
A31210,A,03,01,2,10,0,Block_1,A0301
A3131,A,03,01,3,1,0,Block_1,A0301
A3132,A,03,01,3,2,0,Block_1,A0301
A3133,A,03,01,3,3,1,Block_1,A0301
A3134,A,03,01,3,4,1,Block_1,A0301
A3135,A,03,01,3,5,0,Block_1,A0301
A3136,A,03,01,3,6,0,Block_1,A0301
A3137,A,03,01,3,7,0,Block_1,A0301
A3138,A,03,01,3,8,1,Block_1,A0301
A3139,A,03,01,3,9,0,Block_1,A0301
A31310,A,03,01,3,10,0,Block_1,A0301
A3211,A,03,02,1,1,0,Block_1,A0302
A3212,A,03,02,1,2,0,Block_1,A0302
A3213,A,03,02,1,3,0,Block_1,A0302
A3214,A,03,02,1,4,0,Block_1,A0302
A3215,A,03,02,1,5,0,Block_1,A0302
A3216,A,03,02,1,6,0,Block_1,A0302
A3217,A,03,02,1,7,0,Block_1,A0302
A3218,A,03,02,1,8,0,Block_1,A0302
A3219,A,03,02,1,9,0,Block_1,A0302
A32110,A,03,02,1,10,0,Block_1,A0302
A3221,A,03,02,2,1,0,Block_1,A0302
A3222,A,03,02,2,2,0,Block_1,A0302
A3223,A,03,02,2,3,0,Block_1,A0302
A3224,A,03,02,2,4,0,Block_1,A0302
A3225,A,03,02,2,5,0,Block_1,A0302
A3226,A,03,02,2,6,0,Block_1,A0302
A3227,A,03,02,2,7,0,Block_1,A0302
A3228,A,03,02,2,8,0,Block_1,A0302
A3229,A,03,02,2,9,0,Block_1,A0302
A32210,A,03,02,2,10,0,Block_1,A0302
A3231,A,03,02,3,1,0,Block_1,A0302
A3232,A,03,02,3,2,0,Block_1,A0302
A3233,A,03,02,3,3,0,Block_1,A0302
A3234,A,03,02,3,4,0,Block_1,A0302
A3235,A,03,02,3,5,0,Block_1,A0302
A3236,A,03,02,3,6,0,Block_1,A0302
A3237,A,03,02,3,7,0,Block_1,A0302
A3238,A,03,02,3,8,0,Block_1,A0302
A3239,A,03,02,3,9,0,Block_1,A0302
A32310,A,03,02,3,10,0,Block_1,A0302
A4111,A,04,01,1,1,0,Block_2,A0401
A4112,A,04,01,1,2,0,Block_2,A0401
A4113,A,04,01,1,3,1,Block_2,A0401
A4114,A,04,01,1,4,0,Block_2,A0401
A4115,A,04,01,1,5,0,Block_2,A0401
A4116,A,04,01,1,6,0,Block_2,A0401
A4117,A,04,01,1,7,0,Block_2,A0401
A4118,A,04,01,1,8,1,Block_2,A0401
A4119,A,04,01,1,9,0,Block_2,A0401
A41110,A,04,01,1,10,0,Block_2,A0401
A4121,A,04,01,2,1,0,Block_2,A0401
A4122,A,04,01,2,2,0,Block_2,A0401
A4123,A,04,01,2,3,0,Block_2,A0401
A4124,A,04,01,2,4,0,Block_2,A0401
A4125,A,04,01,2,5,0,Block_2,A0401
A4126,A,04,01,2,6,0,Block_2,A0401
A4127,A,04,01,2,7,0,Block_2,A0401
A4128,A,04,01,2,8,0,Block_2,A0401
A4129,A,04,01,2,9,0,Block_2,A0401
A41210,A,04,01,2,10,0,Block_2,A0401
A4131,A,04,01,3,1,0,Block_2,A0401
A4132,A,04,01,3,2,0,Block_2,A0401
A4133,A,04,01,3,3,0,Block_2,A0401
A4134,A,04,01,3,4,0,Block_2,A0401
A4135,A,04,01,3,5,0,Block_2,A0401
A4136,A,04,01,3,6,0,Block_2,A0401
A4137,A,04,01,3,7,0,Block_2,A0401
A4138,A,04,01,3,8,0,Block_2,A0401
A4139,A,04,01,3,9,0,Block_2,A0401
A41310,A,04,01,3,10,0,Block_2,A0401
A4211,A,04,02,1,1,0,Block_2,A0402
A4212,A,04,02,1,2,0,Block_2,A0402
A4213,A,04,02,1,3,0,Block_2,A0402
A4214,A,04,02,1,4,0,Block_2,A0402
A4215,A,04,02,1,5,0,Block_2,A0402
A4216,A,04,02,1,6,0,Block_2,A0402
A4217,A,04,02,1,7,0,Block_2,A0402
A4218,A,04,02,1,8,0,Block_2,A0402
A4219,A,04,02,1,9,0,Block_2,A0402
A42110,A,04,02,1,10,0,Block_2,A0402
A4221,A,04,02,2,1,0,Block_2,A0402
A4222,A,04,02,2,2,0,Block_2,A0402
A4223,A,04,02,2,3,0,Block_2,A0402
A4224,A,04,02,2,4,0,Block_2,A0402
A4225,A,04,02,2,5,0,Block_2,A0402
A4226,A,04,02,2,6,0,Block_2,A0402
A4227,A,04,02,2,7,0,Block_2,A0402
A4228,A,04,02,2,8,0,Block_2,A0402
A4229,A,04,02,2,9,0,Block_2,A0402
A42210,A,04,02,2,10,0,Block_2,A0402
A4231,A,04,02,3,1,0,Block_2,A0402
A4232,A,04,02,3,2,0,Block_2,A0402
A4233,A,04,02,3,3,0,Block_2,A0402
A4234,A,04,02,3,4,0,Block_2,A0402
A4235,A,04,02,3,5,0,Block_2,A0402
A4236,A,04,02,3,6,0,Block_2,A0402
A4237,A,04,02,3,7,0,Block_2,A0402
A4238,A,04,02,3,8,0,Block_2,A0402
A4239,A,04,02,3,9,0,Block_2,A0402
A42310,A,04,02,3,10,0,Block_2,A0402
A5111,A,05,01,1,1,0,Block_2,A0501
A5112,A,05,01,1,2,0,Block_2,A0501
A5113,A,05,01,1,3,1,Block_2,A0501
A5114,A,05,01,1,4,0,Block_2,A0501
A5115,A,05,01,1,5,0,Block_2,A0501
A5116,A,05,01,1,6,1,Block_2,A0501
A5117,A,05,01,1,7,1,Block_2,A0501
A5118,A,05,01,1,8,0,Block_2,A0501
A5119,A,05,01,1,9,0,Block_2,A0501
A51110,A,05,01,1,10,0,Block_2,A0501
A5121,A,05,01,2,1,0,Block_2,A0501
A5122,A,05,01,2,2,0,Block_2,A0501
A5123,A,05,01,2,3,0,Block_2,A0501
A5124,A,05,01,2,4,1,Block_2,A0501
A5125,A,05,01,2,5,0,Block_2,A0501
A5126,A,05,01,2,6,0,Block_2,A0501
A5127,A,05,01,2,7,0,Block_2,A0501
A5128,A,05,01,2,8,0,Block_2,A0501
A5129,A,05,01,2,9,0,Block_2,A0501
A51210,A,05,01,2,10,1,Block_2,A0501
A5131,A,05,01,3,1,0,Block_2,A0501
A5132,A,05,01,3,2,0,Block_2,A0501
A5133,A,05,01,3,3,0,Block_2,A0501
A5134,A,05,01,3,4,0,Block_2,A0501
A5135,A,05,01,3,5,0,Block_2,A0501
A5136,A,05,01,3,6,0,Block_2,A0501
A5137,A,05,01,3,7,0,Block_2,A0501
A5138,A,05,01,3,8,0,Block_2,A0501
A5139,A,05,01,3,9,0,Block_2,A0501
A51310,A,05,01,3,10,0,Block_2,A0501
A5211,A,05,02,1,1,0,Block_2,A0502
A5212,A,05,02,1,2,1,Block_2,A0502
A5213,A,05,02,1,3,0,Block_2,A0502
A5214,A,05,02,1,4,0,Block_2,A0502
A5215,A,05,02,1,5,0,Block_2,A0502
A5216,A,05,02,1,6,0,Block_2,A0502
A5217,A,05,02,1,7,0,Block_2,A0502
A5218,A,05,02,1,8,0,Block_2,A0502
A5219,A,05,02,1,9,0,Block_2,A0502
A52110,A,05,02,1,10,0,Block_2,A0502
A5221,A,05,02,2,1,0,Block_2,A0502
A5222,A,05,02,2,2,1,Block_2,A0502
A5223,A,05,02,2,3,0,Block_2,A0502
A5224,A,05,02,2,4,1,Block_2,A0502
A5225,A,05,02,2,5,1,Block_2,A0502
A5226,A,05,02,2,6,0,Block_2,A0502
A5227,A,05,02,2,7,0,Block_2,A0502
A5228,A,05,02,2,8,0,Block_2,A0502
A5229,A,05,02,2,9,1,Block_2,A0502
A52210,A,05,02,2,10,0,Block_2,A0502
A5231,A,05,02,3,1,0,Block_2,A0502
A5232,A,05,02,3,2,0,Block_2,A0502
A5233,A,05,02,3,3,0,Block_2,A0502
A5234,A,05,02,3,4,0,Block_2,A0502
A5235,A,05,02,3,5,0,Block_2,A0502
A5236,A,05,02,3,6,0,Block_2,A0502
A5237,A,05,02,3,7,0,Block_2,A0502
A5238,A,05,02,3,8,0,Block_2,A0502
A5239,A,05,02,3,9,0,Block_2,A0502
A52310,A,05,02,3,10,0,Block_2,A0502
A6111,A,06,01,1,1,0,Block_2,A0601
A6112,A,06,01,1,2,0,Block_2,A0601
A6113,A,06,01,1,3,0,Block_2,A0601
A6114,A,06,01,1,4,0,Block_2,A0601
A6115,A,06,01,1,5,0,Block_2,A0601
A6116,A,06,01,1,6,0,Block_2,A0601
A6117,A,06,01,1,7,0,Block_2,A0601
A6118,A,06,01,1,8,0,Block_2,A0601
A6119,A,06,01,1,9,0,Block_2,A0601
A61110,A,06,01,1,10,0,Block_2,A0601
A6121,A,06,01,2,1,0,Block_2,A0601
A6122,A,06,01,2,2,0,Block_2,A0601
A6123,A,06,01,2,3,0,Block_2,A0601
A6124,A,06,01,2,4,0,Block_2,A0601
A6125,A,06,01,2,5,0,Block_2,A0601
A6126,A,06,01,2,6,0,Block_2,A0601
A6127,A,06,01,2,7,0,Block_2,A0601
A6128,A,06,01,2,8,0,Block_2,A0601
A6129,A,06,01,2,9,0,Block_2,A0601
A61210,A,06,01,2,10,0,Block_2,A0601
A6131,A,06,01,3,1,0,Block_2,A0601
A6132,A,06,01,3,2,0,Block_2,A0601
A6133,A,06,01,3,3,0,Block_2,A0601
A6134,A,06,01,3,4,0,Block_2,A0601
A6135,A,06,01,3,5,0,Block_2,A0601
A6136,A,06,01,3,6,0,Block_2,A0601
A6137,A,06,01,3,7,0,Block_2,A0601
A6138,A,06,01,3,8,0,Block_2,A0601
A6139,A,06,01,3,9,1,Block_2,A0601
A61310,A,06,01,3,10,0,Block_2,A0601
A6211,A,06,02,1,1,0,Block_2,A0602
A6212,A,06,02,1,2,0,Block_2,A0602
A6213,A,06,02,1,3,0,Block_2,A0602
A6214,A,06,02,1,4,0,Block_2,A0602
A6215,A,06,02,1,5,0,Block_2,A0602
A6216,A,06,02,1,6,0,Block_2,A0602
A6217,A,06,02,1,7,0,Block_2,A0602
A6218,A,06,02,1,8,0,Block_2,A0602
A6219,A,06,02,1,9,0,Block_2,A0602
A62110,A,06,02,1,10,0,Block_2,A0602
A6221,A,06,02,2,1,0,Block_2,A0602
A6222,A,06,02,2,2,0,Block_2,A0602
A6223,A,06,02,2,3,0,Block_2,A0602
A6224,A,06,02,2,4,0,Block_2,A0602
A6225,A,06,02,2,5,0,Block_2,A0602
A6226,A,06,02,2,6,0,Block_2,A0602
A6227,A,06,02,2,7,0,Block_2,A0602
A6228,A,06,02,2,8,0,Block_2,A0602
A6229,A,06,02,2,9,0,Block_2,A0602
A62210,A,06,02,2,10,0,Block_2,A0602
A6231,A,06,02,3,1,0,Block_2,A0602
A6232,A,06,02,3,2,0,Block_2,A0602
A6233,A,06,02,3,3,1,Block_2,A0602
A6234,A,06,02,3,4,1,Block_2,A0602
A6235,A,06,02,3,5,0,Block_2,A0602
A6236,A,06,02,3,6,0,Block_2,A0602
A6237,A,06,02,3,7,0,Block_2,A0602
A6238,A,06,02,3,8,0,Block_2,A0602
A6239,A,06,02,3,9,0,Block_2,A0602
A62310,A,06,02,3,10,0,Block_2,A0602
A7111,A,07,01,1,1,0,Block_2,A0701
A7112,A,07,01,1,2,0,Block_2,A0701
A7113,A,07,01,1,3,1,Block_2,A0701
A7114,A,07,01,1,4,0,Block_2,A0701
A7115,A,07,01,1,5,0,Block_2,A0701
A7116,A,07,01,1,6,0,Block_2,A0701
A7117,A,07,01,1,7,0,Block_2,A0701
A7118,A,07,01,1,8,0,Block_2,A0701
A7119,A,07,01,1,9,0,Block_2,A0701
A71110,A,07,01,1,10,0,Block_2,A0701
A7121,A,07,01,2,1,0,Block_2,A0701
A7122,A,07,01,2,2,0,Block_2,A0701
A7123,A,07,01,2,3,1,Block_2,A0701
A7124,A,07,01,2,4,0,Block_2,A0701
A7125,A,07,01,2,5,0,Block_2,A0701
A7126,A,07,01,2,6,1,Block_2,A0701
A7127,A,07,01,2,7,0,Block_2,A0701
A7128,A,07,01,2,8,0,Block_2,A0701
A7129,A,07,01,2,9,0,Block_2,A0701
A71210,A,07,01,2,10,0,Block_2,A0701
A7131,A,07,01,3,1,0,Block_2,A0701
A7132,A,07,01,3,2,0,Block_2,A0701
A7133,A,07,01,3,3,1,Block_2,A0701
A7134,A,07,01,3,4,0,Block_2,A0701
A7135,A,07,01,3,5,0,Block_2,A0701
A7136,A,07,01,3,6,1,Block_2,A0701
A7137,A,07,01,3,7,1,Block_2,A0701
A7138,A,07,01,3,8,0,Block_2,A0701
A7139,A,07,01,3,9,0,Block_2,A0701
A71310,A,07,01,3,10,0,Block_2,A0701
A7211,A,07,02,1,1,0,Block_2,A0702
A7212,A,07,02,1,2,0,Block_2,A0702
A7213,A,07,02,1,3,0,Block_2,A0702
A7214,A,07,02,1,4,0,Block_2,A0702
A7215,A,07,02,1,5,0,Block_2,A0702
A7216,A,07,02,1,6,0,Block_2,A0702
A7217,A,07,02,1,7,0,Block_2,A0702
A7218,A,07,02,1,8,0,Block_2,A0702
A7219,A,07,02,1,9,0,Block_2,A0702
A72110,A,07,02,1,10,0,Block_2,A0702
A7221,A,07,02,2,1,0,Block_2,A0702
A7222,A,07,02,2,2,0,Block_2,A0702
A7223,A,07,02,2,3,0,Block_2,A0702
A7224,A,07,02,2,4,0,Block_2,A0702
A7225,A,07,02,2,5,0,Block_2,A0702
A7226,A,07,02,2,6,0,Block_2,A0702
A7227,A,07,02,2,7,0,Block_2,A0702
A7228,A,07,02,2,8,1,Block_2,A0702
A7229,A,07,02,2,9,0,Block_2,A0702
A72210,A,07,02,2,10,0,Block_2,A0702
A7231,A,07,02,3,1,0,Block_2,A0702
A7232,A,07,02,3,2,0,Block_2,A0702
A7233,A,07,02,3,3,0,Block_2,A0702
A7234,A,07,02,3,4,0,Block_2,A0702
A7235,A,07,02,3,5,0,Block_2,A0702
A7236,A,07,02,3,6,0,Block_2,A0702
A7237,A,07,02,3,7,0,Block_2,A0702
A7238,A,07,02,3,8,1,Block_2,A0702
A7239,A,07,02,3,9,1,Block_2,A0702
A72310,A,07,02,3,10,0,Block_2,A0702
A8111,A,08,01,1,1,0,Block_3,A0801
A8112,A,08,01,1,2,0,Block_3,A0801
A8113,A,08,01,1,3,0,Block_3,A0801
A8114,A,08,01,1,4,0,Block_3,A0801
A8115,A,08,01,1,5,0,Block_3,A0801
A8116,A,08,01,1,6,0,Block_3,A0801
A8117,A,08,01,1,7,0,Block_3,A0801
A8118,A,08,01,1,8,0,Block_3,A0801
A8119,A,08,01,1,9,0,Block_3,A0801
A81110,A,08,01,1,10,0,Block_3,A0801
A8121,A,08,01,2,1,0,Block_3,A0801
A8122,A,08,01,2,2,0,Block_3,A0801
A8123,A,08,01,2,3,0,Block_3,A0801
A8124,A,08,01,2,4,0,Block_3,A0801
A8125,A,08,01,2,5,0,Block_3,A0801
A8126,A,08,01,2,6,0,Block_3,A0801
A8127,A,08,01,2,7,0,Block_3,A0801
A8128,A,08,01,2,8,0,Block_3,A0801
A8129,A,08,01,2,9,0,Block_3,A0801
A81210,A,08,01,2,10,0,Block_3,A0801
A8131,A,08,01,3,1,0,Block_3,A0801
A8132,A,08,01,3,2,0,Block_3,A0801
A8133,A,08,01,3,3,0,Block_3,A0801
A8134,A,08,01,3,4,0,Block_3,A0801
A8135,A,08,01,3,5,0,Block_3,A0801
A8136,A,08,01,3,6,0,Block_3,A0801
A8137,A,08,01,3,7,0,Block_3,A0801
A8138,A,08,01,3,8,0,Block_3,A0801
A8139,A,08,01,3,9,0,Block_3,A0801
A81310,A,08,01,3,10,0,Block_3,A0801
A8211,A,08,02,1,1,0,Block_3,A0802
A8212,A,08,02,1,2,0,Block_3,A0802
A8213,A,08,02,1,3,0,Block_3,A0802
A8214,A,08,02,1,4,0,Block_3,A0802
A8215,A,08,02,1,5,0,Block_3,A0802
A8216,A,08,02,1,6,0,Block_3,A0802
A8217,A,08,02,1,7,0,Block_3,A0802
A8218,A,08,02,1,8,0,Block_3,A0802
A8219,A,08,02,1,9,0,Block_3,A0802
A82110,A,08,02,1,10,0,Block_3,A0802
A8221,A,08,02,2,1,0,Block_3,A0802
A8222,A,08,02,2,2,0,Block_3,A0802
A8223,A,08,02,2,3,0,Block_3,A0802
A8224,A,08,02,2,4,0,Block_3,A0802
A8225,A,08,02,2,5,0,Block_3,A0802
A8226,A,08,02,2,6,0,Block_3,A0802
A8227,A,08,02,2,7,0,Block_3,A0802
A8228,A,08,02,2,8,0,Block_3,A0802
A8229,A,08,02,2,9,0,Block_3,A0802
A82210,A,08,02,2,10,0,Block_3,A0802
A8231,A,08,02,3,1,0,Block_3,A0802
A8232,A,08,02,3,2,0,Block_3,A0802
A8233,A,08,02,3,3,0,Block_3,A0802
A8234,A,08,02,3,4,0,Block_3,A0802
A8235,A,08,02,3,5,1,Block_3,A0802
A8236,A,08,02,3,6,0,Block_3,A0802
A8237,A,08,02,3,7,0,Block_3,A0802
A8238,A,08,02,3,8,1,Block_3,A0802
A8239,A,08,02,3,9,0,Block_3,A0802
A82310,A,08,02,3,10,0,Block_3,A0802
A9111,A,09,01,1,1,0,Block_3,A0901
A9112,A,09,01,1,2,0,Block_3,A0901
A9113,A,09,01,1,3,0,Block_3,A0901
A9114,A,09,01,1,4,0,Block_3,A0901
A9115,A,09,01,1,5,0,Block_3,A0901
A9116,A,09,01,1,6,0,Block_3,A0901
A9117,A,09,01,1,7,1,Block_3,A0901
A9118,A,09,01,1,8,1,Block_3,A0901
A9119,A,09,01,1,9,0,Block_3,A0901
A91110,A,09,01,1,10,0,Block_3,A0901
A9121,A,09,01,2,1,0,Block_3,A0901
A9122,A,09,01,2,2,0,Block_3,A0901
A9123,A,09,01,2,3,0,Block_3,A0901
A9124,A,09,01,2,4,0,Block_3,A0901
A9125,A,09,01,2,5,0,Block_3,A0901
A9126,A,09,01,2,6,0,Block_3,A0901
A9127,A,09,01,2,7,0,Block_3,A0901
A9128,A,09,01,2,8,0,Block_3,A0901
A9129,A,09,01,2,9,0,Block_3,A0901
A91210,A,09,01,2,10,0,Block_3,A0901
A9131,A,09,01,3,1,1,Block_3,A0901
A9132,A,09,01,3,2,0,Block_3,A0901
A9133,A,09,01,3,3,0,Block_3,A0901
A9134,A,09,01,3,4,0,Block_3,A0901
A9135,A,09,01,3,5,0,Block_3,A0901
A9136,A,09,01,3,6,0,Block_3,A0901
A9137,A,09,01,3,7,0,Block_3,A0901
A9138,A,09,01,3,8,0,Block_3,A0901
A9139,A,09,01,3,9,0,Block_3,A0901
A91310,A,09,01,3,10,0,Block_3,A0901
A9211,A,09,02,1,1,0,Block_3,A0902
A9212,A,09,02,1,2,0,Block_3,A0902
A9213,A,09,02,1,3,0,Block_3,A0902
A9214,A,09,02,1,4,0,Block_3,A0902
A9215,A,09,02,1,5,0,Block_3,A0902
A9216,A,09,02,1,6,0,Block_3,A0902
A9217,A,09,02,1,7,0,Block_3,A0902
A9218,A,09,02,1,8,0,Block_3,A0902
A9219,A,09,02,1,9,0,Block_3,A0902
A92110,A,09,02,1,10,0,Block_3,A0902
A9221,A,09,02,2,1,0,Block_3,A0902
A9222,A,09,02,2,2,0,Block_3,A0902
A9223,A,09,02,2,3,0,Block_3,A0902
A9224,A,09,02,2,4,0,Block_3,A0902
A9225,A,09,02,2,5,1,Block_3,A0902
A9226,A,09,02,2,6,1,Block_3,A0902
A9227,A,09,02,2,7,0,Block_3,A0902
A9228,A,09,02,2,8,0,Block_3,A0902
A9229,A,09,02,2,9,0,Block_3,A0902
A92210,A,09,02,2,10,0,Block_3,A0902
A9231,A,09,02,3,1,0,Block_3,A0902
A9232,A,09,02,3,2,0,Block_3,A0902
A9233,A,09,02,3,3,0,Block_3,A0902
A9234,A,09,02,3,4,0,Block_3,A0902
A9235,A,09,02,3,5,0,Block_3,A0902
A9236,A,09,02,3,6,0,Block_3,A0902
A9237,A,09,02,3,7,0,Block_3,A0902
A9238,A,09,02,3,8,0,Block_3,A0902
A9239,A,09,02,3,9,0,Block_3,A0902
A92310,A,09,02,3,10,0,Block_3,A0902
A10111,A,10,01,1,1,0,Block_3,A1001
A10112,A,10,01,1,2,0,Block_3,A1001
A10113,A,10,01,1,3,0,Block_3,A1001
A10114,A,10,01,1,4,0,Block_3,A1001
A10115,A,10,01,1,5,0,Block_3,A1001
A10116,A,10,01,1,6,0,Block_3,A1001
A10117,A,10,01,1,7,0,Block_3,A1001
A10118,A,10,01,1,8,0,Block_3,A1001
A10119,A,10,01,1,9,0,Block_3,A1001
A101110,A,10,01,1,10,0,Block_3,A1001
A10121,A,10,01,2,1,0,Block_3,A1001
A10122,A,10,01,2,2,0,Block_3,A1001
A10123,A,10,01,2,3,0,Block_3,A1001
A10124,A,10,01,2,4,0,Block_3,A1001
A10125,A,10,01,2,5,0,Block_3,A1001
A10126,A,10,01,2,6,0,Block_3,A1001
